English Phrase;Russian Phrase
I’m just browsing, thanks;Я просто присматриваюсь, спасибо.
window;витрина
How much is this…? / How much are these…?;Сколько стоит этот/эти …?
Do you have any …? / Where can I find …?
I’m looking for …;Я ищу
cheap / Have you got anything cheaper?;дешевый / У вас есть что-нибудь не такое дорогое (дешевле)?
That’s good value;Это цена мне подходит / Это подходящая цена.
guarantee / a one year guarantee / Does it come with guarantee?;гарантия / гарантия один год / На этот товар есть гарантия?
Are you in the queue / in the line?;Вы стоите в очереди?
to gift wrap;завернуть в подарочную упаковку
Can you gift wrap these earrings?;Вы можете завернуть эти серьги в подарочную упаковку?
to pay by card;расплачиваться кредитной картой
to pay in cash;платить наличными
I’d like to return this. Could I have a refund?;Я хочу сделать возврат. Можно мне вернуть деньги?
Can I help you?;Чем я могу вам помочь?
Could I have a receipt, please?;Можно мне ваш чек?
Would you like a bag?;Пакет нужен?
Would you like anything else?;Желаете ли вы что-нибудь еще?
We don’t have any (Chanel shadows) left;У нас больше не осталось (теней Chanel)
shopping centre / mall;торговый центр
department store;универмаг
cash dispenser / cash machine;банкомат
tearoom/ tea-shop;кафе-кондитерская / чайный магазин
coffee shop;кофейня
pet shop;зоомагазин
bookstall / book shop;книжный киоск / книжный магазин
clothing shop;магазин одежды
launderette;химчистка
builders’ merchant;магазин стройматериалов
drapery;магазин тканей
optician’s;оптикa
bakery;булочная
butcher’s;мясной магазин
fishmonger’s;рыбный магазин
dairy;небольшой молочный магазин
greengrocer’s;овощной магазин / зеленая лавка
groceries;бакалея
convenience store;небольшой круглосуточный магазин, где продается самое необходимое
